timestamp,coin,price
2026-03-07 18:58:00,bitcoin,68003
2026-03-07 18:58:00,ethereum,1981.38
2026-03-07 18:58:00,tether,0.999963
2026-03-07 18:58:00,binancecoin,626.97
2026-03-07 18:58:00,ripple,1.36
2026-03-07 18:58:00,usd-coin,1.0
2026-03-07 18:58:00,solana,84.46
2026-03-07 18:58:00,tron,0.284452
2026-03-07 18:58:00,figure-heloc,1.024
2026-03-07 18:58:00,dogecoin,0.090459
2026-03-07 18:58:28,bitcoin,68003
2026-03-07 18:58:28,ethereum,1981.38
2026-03-07 18:58:28,tether,0.999963
2026-03-07 18:58:28,binancecoin,626.97
2026-03-07 18:58:28,ripple,1.36
2026-03-07 18:58:28,usd-coin,1.0
2026-03-07 18:58:28,solana,84.46
2026-03-07 18:58:28,tron,0.284452
2026-03-07 18:58:28,figure-heloc,1.024
2026-03-07 18:58:28,dogecoin,0.090459
2026-03-08 15:22:15,bitcoin,67712
2026-03-08 15:22:15,ethereum,1965.25
2026-03-08 15:22:15,tether,0.999961
2026-03-08 15:22:15,binancecoin,620.21
2026-03-08 15:22:15,ripple,1.36
2026-03-08 15:22:15,usd-coin,1.0
2026-03-08 15:22:15,solana,83.18
2026-03-08 15:22:15,tron,0.28668
2026-03-08 15:22:15,figure-heloc,1.024
2026-03-08 15:22:15,dogecoin,0.089911
2026-03-08 15:29:00,bitcoin,67723
2026-03-08 15:29:00,ethereum,1963.71
2026-03-08 15:29:00,tether,0.999939
2026-03-08 15:29:00,binancecoin,620.31
2026-03-08 15:29:00,ripple,1.36
2026-03-08 15:29:00,usd-coin,0.999904
2026-03-08 15:29:00,solana,83.2
2026-03-08 15:29:00,tron,0.286673
2026-03-08 15:29:00,figure-heloc,1.024
2026-03-08 15:29:00,dogecoin,0.089939
2026-03-08 15:29:01,bitcoin,67723
2026-03-08 15:29:01,ethereum,1963.71
2026-03-08 15:29:01,tether,0.999939
2026-03-08 15:29:01,binancecoin,620.31
2026-03-08 15:29:01,ripple,1.36
2026-03-08 15:29:01,usd-coin,0.999904
2026-03-08 15:29:01,solana,83.2
2026-03-08 15:29:01,tron,0.286673
2026-03-08 15:29:01,figure-heloc,1.024
2026-03-08 15:29:01,dogecoin,0.089939
2026-03-08 15:29:03,bitcoin,67723
2026-03-08 15:29:03,ethereum,1963.71
2026-03-08 15:29:03,tether,0.999939
2026-03-08 15:29:03,binancecoin,620.31
2026-03-08 15:29:03,ripple,1.36
2026-03-08 15:29:03,usd-coin,0.999904
2026-03-08 15:29:03,solana,83.2
2026-03-08 15:29:03,tron,0.286673
2026-03-08 15:29:03,figure-heloc,1.024
2026-03-08 15:29:03,dogecoin,0.089939
